"entry_id","entry_allow_comments","entry_allow_pings","entry_atom_id","entry_author_id","entry_basename","entry_blog_id","entry_category_id","entry_convert_breaks","entry_excerpt","entry_keywords","entry_pinged_urls","entry_status","entry_tangent_cache","entry_text","entry_text_more","entry_title","entry_to_ping_urls","entry_week_number","entry_created_on","entry_created_by","entry_modified_on","entry_modified_by"
"9","0","0","tag:www.sovtransexport.ru,2005:/news//1.9","2","dostavka_gruzov_iz_kitaya","1",NULL,"__default__",,NULL,NULL,"1",NULL,,"Наша компания представлена в крупнейших авиаузлах Китая: Пекине, Шанхае и Гонконге. 
 
Мы предлагаем следующие варианты авиадоставки грузов из Китая:
 
-Доставка прямыми авиарейсами из Пекина, Шанхая и Гонконга в Москву.  
Это самый быстрый вариант <a class='ancmain' href='/'>авиаперевозки</a>. 
Срок такой доставки груза составит от 1 до 3 дней.
 
-Комбинированная перевозка через консолидационный склад в Германии или Финляндии с использованием <a class='ancmain' href='/'>авиаперевозки</a> и автомобильного транспорта. Это специальное предложение компании Совтрансэкспорт .  Груз доставляется самолетом в  Финляндию, где он поступает на  склад консолидации. Оттуда он в составе сборного груза перевозится автотранспортом до Москвы или Санкт-Петербурга. Такой вариант менее оперативен по срокам, но экономнее по тарифам. 
Срок доставки: 15-18 дней.
 
-Перевозка груза прямым  авиарейсом из Гонконга в Москву.  Это еще одно наше специальное предложение по <a class='ancmain' href='/'>авиаперевозке</a>.  
Срок такой доставки груза составит от 3 до 5 дней.
","Доставка грузов из Китая",,"200546","2005-11-14 16:14:40",NULL,"2010-08-03 11:57:03",NULL
"62","0","0","tag:www.sovtransexport.ru,2006:/news//1.62","2","rabotnikam_grazhdanskoi_aviats","1",NULL,"__default__",,,,"1",,,"Уважаемые друзья!

Сердечно поздравляю вас с профессиональным праздником - Днем гражданской авиации России.

Минувший год был для отрасли непростым. Серьезно осложнил ситуацию стремительный рост цен на авиатопливо, однако авиакомпании оказались на высоте и оперативно приняли беспрецедентные меры по оптимизации собственных затрат. В результате рост цен на пассажирские <a class='ancmain' href='/'>авиаперевозки</a> воздушным транспортом оказался минимальным, что позволило не только сохранить их объем, но и увеличить его по сравнению с 2004 годом.

Дальнейшие перспективы развития рынка <a class='ancmain' href='/'>авиаперевозок</a> связаны с консолидацией авиакомпаний, созданием альянсов, повышением эффективности работы и укреплением финансовой стабильности перевозчиков. Минтранс России первостепенное внимание уделяет вопросам повышения конкурентоспособности российских авиакомпаний на международном рынке, проводит большую интеграционную работу со странами СНГ в этой области. Одним из приоритетов Министерства также является развитие аэропортовой инфраструктуры: в этом году начата реализация программы совершенствования аэродромной сети страны, которая позволит выстроить систему узловых аэропортов, оптимизировать <a class='ancmain' href='/'>авиаперевозки</a>, развить сеть региональных аэропортов, создать удобные условия для пассажиров.

Уважаемые друзья! Активизация <a class='ancmain' href='/'>авиаперевозок</a> всегда сопутствует экономическому росту в стране. Показатели, достигнутые отраслью в 2005 году, дают нам все основания с оптимизмом смотреть в будущее. От всей души желаю вам здоровья, благополучия, успехов в достижении поставленных целей.

И. Левитин  
","Работникам гражданской авиации России",,"200606","2006-02-06 13:46:38",NULL,"2010-08-03 11:56:04",NULL
"16","0","0","tag:www.sovtransexport.ru,2005:/news//1.16","2","tamozhenniki_obnaruzhili_krupn","1",NULL,"__default__",NULL,NULL,NULL,"1",NULL,,"В понедельник, 14 ноября 2005 года, в ходе проведения таможенного контроля в почтово-багажном поезде №939 сообщением «Хабаровск-Лиски», следующим транзитом через Республику Казахстан, в одном из вагонов железнодорожного состава таможенники обнаружили крупную партию товаров народного потребления производства КНР. Весь груз, на общую сумму более 268,5 тысяч рублей, не проходил процедуру таможенного оформления. По факту недекларирования в отношении владельца товара – гражданина Казахстана – отделом дознания Курганской таможни возбуждено уголовное дело по ч.1 ст.188 Уголовного кодекса Российской Федерации (Контрабанда). Изъятый груз помещен на склад временного хранения центра таможенного оформления Курганской таможни.
В этот же день при проведении таможенного контроля на пассажирском поезде №305, следующем из Бишкека (Кыргызстан) в Свердловск, сотрудниками Курганской таможни было выявлено более полутонны китайского «ширпотреба», перемещаемого гражданами Кыргызстана с сокрытием от таможенного контроля. Как сообщили в пресс-службе УТУ, стоимость контрабандных товаров составила 56 000 рублей. По фактам незаконного перемещения товаров через таможенную границу России Курганской таможней возбуждено 6 дел об административных правонарушениях по статье 16.1 КоАП России. Груз изъят и помещен на склад временного хранения, а его владельцам теперь грозит административный штраф в размере от половины до трехкратной стоимости товаров, явившихся предметами административного правонарушения, с их последующей конфискацией. 

ТАМОЖНЯ.РУ 
","Таможенники обнаружили крупную партию товаров  производства КНР.",NULL,"200546","2005-11-15 10:50:53",NULL,"2010-08-03 11:57:03",NULL
"17","0","0","tag:www.sovtransexport.ru,2005:/news//1.17","2","rasporyazhenie_pravitelstva_mo","1",NULL,"__default__",,NULL,NULL,"1",NULL,,"В целях дальнейшего развития пассажирских и грузовых <a class='ancmain' href='/'>авиаперевозок</a> в аэропорту Внуково, обеспечения выполнения планов по его модернизации и реконструкции, эффективного использования и управления собственностью города: 
1. Отраслевым, функциональным и территориальным органам исполнительной власти города Москвы: 
1.1. Предусматривать в существующих и перспективных планах и программах по развитию международных и межрегиональных связей и туризма, а также при проведении общественно значимых мероприятий меры по распространению положительного опыта и достижений города Москвы в проведении коренной реконструкции и модернизации аэропорта Внуково.
1.2. Использовать аэропорт Внуково с привлечением авиакомпании ""Атлант-Союз"" при организации <a class='ancmain' href='/'>авиаперевозок</a> пассажиров и грузов, выполняемых в рамках городского заказа, социальных и других программ и целей.
1.3. По согласованию с Департаментом транспорта и связи города Москвы при содействии ОАО ""Аэропорт Внуково"" и ОАО ""Авиационная компания ""Атлант-Союз"" включать в программы официальных поездок и переговоров с делегациями других регионов и зарубежных стран вопросы развития воздушного сообщения Москвы из аэропорта Внуково с другими городами и странами.
2. Департаменту транспорта и связи города Москвы совместно с ОАО ""Аэропорт Внуково"" и ОАО ""Авиационная компания ""Атлант-Союз"" в соответствии с предложениями органов исполнительной власти города Москвы подготовить и внести на утверждение комплексный план по развитию воздушного сообщения города Москвы из аэропорта Внуково.
3. Контроль за выполнением настоящего распоряжения возложить на первого заместителя Мэра Москвы в Правительстве Москвы Аксенова П.Н.
Мэр Москвы Ю.М.Лужков

","Распоряжение Правительства Москвы от 14 октября 2005 г. №2035-РП ""О мерах по развитию авиаперевозок в аэропорту Внуково"".",,"200546","2005-11-15 11:22:15",NULL,"2010-08-03 11:57:03",NULL
"18","0","0","tag:www.sovtransexport.ru,2005:/news//1.18","2","tamozhennoe_oformlenie_gruzov","1",NULL,"__default__",NULL,NULL,NULL,"1",NULL,,"Мы предоставляем нашим клиентам полный пакет документов на товар (копия ГТД, счета-фактуры, договор поставки, сертификаты по надобности). Таким образом, мы обеспечиваем для Вас максимальное удобство в документации при осуществлении грузоперевозок. Благодаря высокому профессионализму сотрудников и многолетнему опыту нашей компании в области таможенного оформления грузов, мы гарантируем Вам оперативное и беспроблемное решение всех таможенных вопросов. 

Опыт нашей компании позволяет снижать издержки, что дает нам возможность предложить Вам самые выгодные тарифы.

Нашим клиентам мы готовы предоставить следующие услуги по таможенному оформлению: 

расчет таможенных платежей 
таможенное оформление импортных товаров и оборудования на таможенных терминалах Москвы и Санкт-Петербурга 
оптимизация процедур таможенной очистки груза, в том числе грузов с жесткими требованиями по условиям хранения и транспортировки 
консультации по вопросам, связанным с внешнеэкономической деятельностью, и таможенному законодательству России. 
получение необходимых документов для сертификации 
декларирование и хранение грузов на СВХ (складах временного хранения) 
","таможенное оформление грузов",NULL,"200546","2005-11-15 11:25:43",NULL,"2010-08-03 11:56:48",NULL
"13","0","0","tag:www.sovtransexport.ru,2005:/news//1.13","2","aviakompanii_perehodyat_na_edi","1",NULL,"__default__",NULL,NULL,NULL,"1",NULL,,"С 1 октября все российские и зарубежные авиакомпании, выполняющие международные рейсы, переходят на единый курс условной единицы для расчетов за свои услуги. 

Отныне курс за услуги авиакомпаний будет рассчитываться исходя из формулы: сумма курсов ЦБ РФ по евро и доллару, разделенная на 2, плюс 5% от этой суммы с последующим округлением до 50 центов. Таким образом, по состоянию на 01.10.05 г. он будет равен 33,5 рубля за 1 у.е. 

Инициативу о едином пересчете условных единиц выдвинул ""Аэрофлот"" в рамках работы Международной ассоциации транспортной авиации (IATA). До этого у каждой авиакомпании существовал свой собственный курс расчетов с клиентами. В частности, в ""Аэрофлоте"" условная единица была равна 32,5 рубля - для агентов и 31 рубль - для дистрибьюторов.

","Авиакомпании переходят на единый курс",NULL,"200546","2005-11-14 16:43:21",NULL,"2010-08-03 11:57:03",NULL
"14","0","0","tag:www.sovtransexport.ru,2005:/news//1.14","2","aviakompaniya_aeroflot_vnosit","1",NULL,"__default__",,NULL,NULL,"1",NULL,,"В связи с приостановкой эксплуатации самолетов Ил-96-300 авиакомпания 'Аэрофлот' внесла ряд изменений в расписание <a class='ancmain' href='/'>авиаперевозок</a>. Пересмотрено первоначальное решение об отмене всех рейсов в Ханой. Эти <a class='ancmain' href='/'>авиаперевозки</a> будут выполняться, однако некоторые рейсы совершат промежуточную посадку в Дели. Ряд <a class='ancmain' href='/'>авиаперевозок</a> в Пекин и Хабаровск будет выполняться с посадкой в Новосибирске. C 5 по 15 сентября отменяется один из рейсов <a class='ancmain' href='/'>авиаперевозок</a> в Сочи. Кроме того, на многих направлениях будут использоваться самолеты, отличные от ранее заявленных.","Авиакомпания ""Аэрофлот"" вносит новые изменения",,"200546","2005-11-14 16:45:51",NULL,"2010-08-03 11:57:03",NULL
"15","0","0","tag:www.sovtransexport.ru,2005:/news//1.15","2","uchastniki_ved_otnyne_smogut_i","1",NULL,"__default__",NULL,NULL,NULL,"1",NULL,"

","Такое постановление на основании одного частного дела принял Высший арбитражный суд (ВАС), который растолковал таможенникам соответствующие нормы Кодекса об административных правонарушениях (КоАП). 

""Прецедент создан в пользу участников ВЭД,- говорит ведущий специалист по ВЭД ООО СТМ Валерий Глыздов.- Суд объяснил, что считается недостоверным декларированием"". 

Поводом для судебных разбирательств стало решение Калужской таможни оштрафовать декларанта за то, что он неправильно указал в документах ставку ввозной таможенной пошлины: 5% от стоимости товара вместо предусмотренных правительством 10%. Несмотря на то, что все таможенные платежи и пени участник ВЭД в итоге уплатил исходя из ставки пошлины в 10%, таможенники привлекли компанию к административной ответственности по статье 16.2 КоАП, обязав фирму заплатить штраф в размере половины стоимости товара. 

Суды всех инстанций приняли решение в пользу таможни, однако ВАС, до которого дошло дело, в своем постановлении от 18 августа 2005 года №1818/05 четко разъяснил, за какие действия таможенники могут наказывать участников ВЭД по этой статье. В частности, чиновники могут оштрафовать предпринимателей за заявление недостоверных сведений о наименовании, количестве, таможенной стоимости, стране происхождения товаров, а также за неверно указанный таможенный режим. 

""Позиция ВАС радует. Информация о ставке пошлины не может быть определяющей характеристикой товара, ведь ставка может меняться, а товар остается одним и тем же,- говорит руководитель таможенной практики юридической компании DLA Piper Rudnick Gray Cary Вильгельмина Шавшина.- ВАС указал именно те характеристики, которые влияют на размер таможенного бремени"". 

Согласно судебному решению, если в декларации указана лишь неверная ставка, то таможенники могут отказать в оформлении товара, а также принять меры, чтобы декларант заплатил сумму пошлины в нужном размере. ""Неправильно указанная ставка не образует состава административного правонарушения. Таможенники могут довзыскать платежи с участника ВЭД в принудительном порядке, но не имеют право за это штрафовать"",- говорит Вильгельмина Шавшина. 

Эксперты уверены в важности решения ВАС, так как пока на практике таможенники часто привлекают компании к административной ответственности за неправильно указанный в декларации размер ставки. ""Правительство очень часто вводит временные ставки, и тогда возникает промежуток, когда непонятно, какие ставки применять. 

При оформлении декларации в это время таможенники берут в расчет те ставки, которые известны на тот момент"",- объяснил Валерий Глыздов. Важно также, что в своем постановлении ВАС указал еще и на обязанность таможенников более тщательно проверять размер действующих ставок при оформлении товаров. 

""До этого момента в разных регионах существовала различная практика, в том числе противоречащая данному постановлению ВАС. Это подтверждается позицией нижестоящих судов. И, безусловно, решение ВАС - прецедент на федеральном уровне, который должен прямо повлиять на работу всей арбитражной системы"",- считает генеральный директор ""Группы Тарго"" Татьяна Круглова. 

Однако она напоминает, что даже решение ВАС для таможенников не указ. ""У таможенников на местах отсутствует техническая возможность руководствоваться прецедентными судебными решениями, так как у них нет соответствующей информационной базы, которая бы оперативно пополнялась новыми судебными решениями и административными постановлениями вышестоящих таможенных органов по жалобам участников ВЭД"",- пояснила Круглова.

","Участники ВЭД отныне смогут избежать штрафа",NULL,"200546","2005-11-14 16:50:50",NULL,"2010-08-03 11:57:03",NULL
"12","0","0","tag:www.sovtransexport.ru,2005:/news//1.12","2","dostavka_gruzov_iz_ssha","1",NULL,"__default__",,NULL,NULL,"1",NULL,"Быстрее всего грузы могут быть доставлены прямыми авиарейсами в Москву...","Мы готовы предложить Вам два варианта перевозки Вашего товара воздушным транспортом из США.
 
-Быстрее всего грузы могут быть доставлены прямыми авиарейсами в Москву.  
Срок такой <a class='ancmain' href='/'>авиаперевозки</a> составит 2-3 дня.
 
-Менее оперативным по срокам, но при этом более экономным по тарифам является комбинированный вариант доставки груза в Россию через Европу с сочетанием авиационного и автомобильного транспорта.  Это специальное предложение от нашей компании.  Товар доставляется самолетом в Германию, где он поступает на  склад консолидации в г. Хаан.  Оттуда он в составе сборного груза регулярным авторейсом перевозится до Москвы.  
Всего такая доставка займет около 15 дней. 
 
В США мы обеспечим перевозку Вашего товара от склада поставщика до аэропорта и оформим всю необходимую экспортную документацию.  По прибытии груза в Шереметьево  мы готовы провести его импортное оформление и организовать его доставку до Вашего склада.
 
Контейнерные перевозки из США
Наша компания представлена в морских портах Нью-Йорк и Филадельфия.  
Из этих портов, а также из любого другого порта США грузы перевозятся в контейнерах морскими линиями до портов Германии или порта Санкт-Петербург и далее автомобильным транспортом доставляются до Москвы или другого города получателя товара в России. 
Общий срок контейнерной перевозки груза – около 30 дней. 
 
В процессе доставки Вашего товара мы готовы произвести его надлежащее экспортное и импортное оформление.
","ДОСТАВКА ГРУЗОВ ИЗ США",,"200546","2005-11-14 16:39:25",NULL,"2010-08-03 11:57:03",NULL
"19","0","0","tag:www.sovtransexport.ru,2005:/news//1.19","2","10_mln_418_tys_passazhirov_vos","1",NULL,"__default__",,NULL,NULL,"1",NULL,,"По итогам десяти месяцев 2005 года общий пассажиропоток Международного аэропорта Шереметьево превысил 10-ти миллионной рубеж и составил 10 млн. 418 тыс. пассажиров.

В октябре текущего года услугами аэропорта Шереметьево воспользовались 1 млн. 038 тыс. авиапутешественников.

Статистические данные подтверждают плановые показатели пассажирских <a class='ancmain' href='/'>авиаперевозок</a> на 2005 год. Согласно прогнозам специалистов, численность пассажиропотока Международного аэропорта Шереметьево в 2005 году немногим превысит 12-ти миллионный рубеж.

Сохраняется тенденция стабильного роста почтовых перевозок. За 10 месяцев 2005 года в аэропорту Шереметьев было обработано 8 000 тонн почты.

Шереметьево является лидером МАУ в секторе регулярных международных перевозок (68% от общего числа) и регулярных <a class='ancmain' href='/'>авиаперевозок</a> в целом (51% от общего количества). Количество регулярных рейсов в 2004 году стало равно 88% от общего числа <a class='ancmain' href='/'>авиаперевозок</a>, чартерных рейсов - 12% соответственно. Услугами аэропорта Шереметьево пользуются более 100 российских и иностранных перевозчиков.   

Источник: компания ""Международный аэропорт ""Шереметьево""


","10 млн. 418 тыс. пассажиров воспользовались услугами Международного аэропорта Шереметьево за 10 месяцев 2005 года",,"200546","2005-11-15 12:43:56",NULL,"2010-08-03 11:56:48",NULL
